base,symbol,class,underlyingType,quoteVolume
ETH,ETH/USDT:USDT,crypto,COIN,5601058961.38
BTC,BTC/USDT:USDT,crypto,COIN,5357804798.61
LAB,LAB/USDT:USDT,crypto,COIN,1337219923.2115
SOL,SOL/USDT:USDT,crypto,COIN,1292839117.5956
XRP,XRP/USDT:USDT,crypto,COIN,603739799.4239
VANRY,VANRY/USDT:USDT,crypto,COIN,508546667.640376
HYPE,HYPE/USDT:USDT,crypto,COIN,443156754.78984
ADA,ADA/USDT:USDT,crypto,COIN,396093692.2614
ZEC,ZEC/USDT:USDT,crypto,COIN,381537073.94
DOGE,DOGE/USDT:USDT,crypto,COIN,295705791.40466
BNB,BNB/USDT:USDT,crypto,COIN,292156422.626
TLM,TLM/USDT:USDT,crypto,COIN,215658347.328084
HMSTR,HMSTR/USDT:USDT,crypto,COIN,202557620.2949316
WLD,WLD/USDT:USDT,crypto,COIN,163125883.141
BCH,BCH/USDT:USDT,crypto,COIN,147123874.25
1000PEPE,1000PEPE/USDT:USDT,crypto,COIN,146165563.400744
NEAR,NEAR/USDT:USDT,crypto,COIN,137438605.168
RPL,RPL/USDT:USDT,crypto,COIN,131636651.5681
SLX,SLX/USDT:USDT,crypto,COIN,127805281.00024
SYN,SYN/USDT:USDT,crypto,COIN,120214782.67783
O,O/USDT:USDT,crypto,COIN,116851855.1598
SUI,SUI/USDT:USDT,crypto,COIN,110267817.35255
XAG,XAG/USDT:USDT,stock,COMMODITY,102801002.0356
VELVET,VELVET/USDT:USDT,crypto,COIN,101081840.57271
XLM,XLM/USDT:USDT,crypto,COIN,93887201.39714
XAU,XAU/USDT:USDT,stock,COMMODITY,83735695.79
MU,MU/USDT:USDT,stock,EQUITY,82744420.3797
MAGMA,MAGMA/USDT:USDT,crypto,COIN,81586039.08534
HOT,HOT/USDT:USDT,crypto,COIN,78724915.9222765
ARX,ARX/USDT:USDT,crypto,COIN,75513080.6144
AVAX,AVAX/USDT:USDT,crypto,COIN,74416952.316
EPIC,EPIC/USDT:USDT,crypto,COIN,74256617.73437
RE,RE/USDT:USDT,crypto,COIN,73469557.7821
LINK,LINK/USDT:USDT,crypto,COIN,71573284.629
SKHYNIX,SKHYNIX/USDT:USDT,stock,KR_EQUITY,70008221.0022
TRUMP,TRUMP/USDT:USDT,crypto,COIN,69527452.24172
SPCX,SPCX/USDT:USDT,stock,EQUITY,69297657.5781
BTW,BTW/USDT:USDT,crypto,COIN,69161140.771418
币安人生,币安人生/USDT:USDT,crypto,COIN,68217090.69972
TAO,TAO/USDT:USDT,crypto,COIN,68195769.57
ENA,ENA/USDT:USDT,crypto,COIN,67257907.74283
SOXL,SOXL/USDT:USDT,stock,EQUITY,62380895.2668
AAVE,AAVE/USDT:USDT,crypto,COIN,59359571.149
SNDK,SNDK/USDT:USDT,stock,EQUITY,58111761.9062
BIRB,BIRB/USDT:USDT,crypto,COIN,55212010.28247
MSTR,MSTR/USDT:USDT,stock,EQUITY,53712605.2289
MIRA,MIRA/USDT:USDT,crypto,COIN,53508874.33132
XPL,XPL/USDT:USDT,crypto,COIN,52144676.41852
OGN,OGN/USDT:USDT,crypto,COIN,52143623.19537
CAP,CAP/USDT:USDT,crypto,COIN,52018675.47798
HEI,HEI/USDT:USDT,crypto,COIN,51507519.547138
ONDO,ONDO/USDT:USDT,crypto,COIN,51277279.47982
LIT,LIT/USDT:USDT,crypto,COIN,49225254.62721
LTC,LTC/USDT:USDT,crypto,COIN,48933219.7
ETHFI,ETHFI/USDT:USDT,crypto,COIN,48257933.82561
1000BONK,1000BONK/USDT:USDT,crypto,COIN,46463817.434063
DOT,DOT/USDT:USDT,crypto,COIN,42159958.606
AIGENSYN,AIGENSYN/USDT:USDT,crypto,COIN,41603199.93685
BAS,BAS/USDT:USDT,crypto,COIN,41216392.260515
UNI,UNI/USDT:USDT,crypto,COIN,39879296.363
TRX,TRX/USDT:USDT,crypto,COIN,39161685.28813
SKYAI,SKYAI/USDT:USDT,crypto,COIN,38477187.5369
CL,CL/USDT:USDT,stock,COMMODITY,38401181.1702
ALLO,ALLO/USDT:USDT,crypto,COIN,38179357.63576
PUMP,PUMP/USDT:USDT,crypto,COIN,37347784.58186
1000SHIB,1000SHIB/USDT:USDT,crypto,COIN,37002214.960257
HBAR,HBAR/USDT:USDT,crypto,COIN,34813790.74405
FIL,FIL/USDT:USDT,crypto,COIN,34727359.54
VVV,VVV/USDT:USDT,crypto,COIN,34314618.72967
H,H/USDT:USDT,crypto,COIN,32588011.40495
WLFI,WLFI/USDT:USDT,crypto,COIN,31656736.07166
GRAM,GRAM/USDT:USDT,crypto,COIN,30811059.8854
PLAY,PLAY/USDT:USDT,crypto,COIN,30755326.32684
GWEI,GWEI/USDT:USDT,crypto,COIN,29989033.2295
FET,FET/USDT:USDT,crypto,COIN,29441780.8331
ARPA,ARPA/USDT:USDT,crypto,COIN,28397889.57585
KORU,KORU/USDT:USDT,stock,EQUITY,27929406.9415
EIGEN,EIGEN/USDT:USDT,crypto,COIN,26509986.04546
PENGU,PENGU/USDT:USDT,crypto,COIN,25700209.430209
BEAT,BEAT/USDT:USDT,crypto,COIN,25494815.302
RIF,RIF/USDT:USDT,crypto,COIN,24374209.21662
KAITO,KAITO/USDT:USDT,crypto,COIN,24158219.99723
TIA,TIA/USDT:USDT,crypto,COIN,24157148.3085
ID,ID/USDT:USDT,crypto,COIN,24035704.15968
XMR,XMR/USDT:USDT,crypto,COIN,24010477.13
M,M/USDT:USDT,crypto,COIN,23652573.6782
FARTCOIN,FARTCOIN/USDT:USDT,crypto,COIN,23342961.88793
JTO,JTO/USDT:USDT,crypto,COIN,23283415.5924
ASTER,ASTER/USDT:USDT,crypto,COIN,21945157.7621
ICP,ICP/USDT:USDT,crypto,COIN,21868964.766
RAVE,RAVE/USDT:USDT,crypto,COIN,21223483.38805
CRCL,CRCL/USDT:USDT,stock,EQUITY,21221349.3496
GIGGLE,GIGGLE/USDT:USDT,crypto,COIN,21211355.7718
BREV,BREV/USDT:USDT,crypto,COIN,21099874.91861
INJ,INJ/USDT:USDT,crypto,COIN,20497992.0738
